"","case","serial","ref","questnnr","mode","au01_01","au01_02","au01_03","au01_04","au01_05","au01_06","au01_07","au01_08","au01_09","sd01_01","sd01_02","sd01_03","sd01_04","sd01_05","sd01_06","sd01_07","sd01_08","sd01_09","sd01_10","sd01_11","sd01_12","sd01_13","sd01_14","sd01_15","sd01_16","ko01_02","ko01_03","ko01_04","ko01_05","ko01_06","ko01_07","ko01_08","ko01_09","ko01_10","ko01_11","ko01_12","ko01_13","ko01_14","ko01_15","ko01_16","ko01_17","ko01_18","ko01_19","ko01_20","ko01_21","ko01_22","ko01_23","ko01_24","ko01_25","ko01_26","ko01_27","ko01_28","ko01_29","ko01_30","ko01_31","mi01_01","mi01_02","mi01_03","mi01_04","mi01_05","mi01_06","mi01_07","mi01_08","ta01_01","ta01_02","ta01_03","ta01_04","ta01_05","ta01_06","ta01_07","ta01_08","ta01_09","ta01_10","ta01_11","ta01_12","ta01_13","ta01_14","ta01_15","ta01_16","ta01_17","ta01_18","ta01_19","ta01_20","ta01_21","ta01_22","ta01_23","ta01_24","ta01_25","ta01_26","ta01_27","ta01_28","ta01_29","ta01_30","ta01_31","ta01_32","ta01_33","ta01_34","ta01_35","ta01_36","ta01_37","ta01_38","ta01_39","ta01_40","de01_01","de02","de03_01","de04","time001","time002","time003","time004","time005","time006","time007","time008","time009","time010","time_sum","mailsent","finished","q_viewer","lastpage","maxpage","missing","missrel","time_rsi"
"271",1253,NA,NA,"base","interview",4,3,1,2,1,1,3,1,1,4,1,1,2,2,1,1,4,1,1,1,1,1,1,3,1,1,8,6,6,6,7,9,11,3,1,7,9,11,11,9,9,10,7,1,1,11,6,8,10,3,6,9,11,NA,9,3,4,3,3,4,3,2,1,6,4,6,1,6,6,6,6,6,6,9,6,7,6,NA,6,6,8,7,6,5,6,6,9,9,6,6,8,6,9,6,6,6,1,6,6,9,6,5,5,21,1,3,4,10,63,118,158,84,44,49,142,33,7,708,NA,TRUE,FALSE,10,10,2,1,"1,07"
"272",1255,NA,NA,"base","interview",1,4,3,3,3,2,3,1,1,6,1,3,2,4,4,3,6,2,2,3,2,1,1,1,1,6,11,6,6,6,11,11,11,1,6,10,1,11,11,11,11,6,1,1,1,11,6,11,11,6,11,6,11,11,11,4,4,3,1,3,4,4,4,11,6,11,1,6,11,11,11,11,11,11,11,11,11,8,11,11,10,11,6,6,6,6,11,11,2,11,11,11,11,11,11,6,6,6,6,3,6,6,6,26,1,2,7,8,86,86,133,92,42,21,330,33,3,834,NA,TRUE,FALSE,10,10,1,0,"1,25"
"273",1256,NA,NA,"base","interview",2,5,3,5,3,1,2,2,2,5,2,5,4,6,5,2,5,5,1,6,4,5,3,6,2,1,11,1,4,6,6,10,8,4,NA,5,8,7,4,9,9,8,4,2,2,11,10,7,3,1,7,9,11,11,6,6,6,5,2,5,6,5,2,5,1,1,1,8,9,10,7,7,3,11,3,9,2,6,9,4,8,11,6,1,1,1,3,2,2,2,4,2,11,7,3,6,9,4,4,1,4,1,2,30,2,5,7,5,44,67,133,86,35,28,106,23,3,530,NA,TRUE,FALSE,10,10,2,1,"1,62"
"274",1257,NA,NA,"base","interview",1,2,2,2,1,1,2,1,1,1,1,1,4,1,1,1,1,1,6,2,5,2,1,2,1,1,10,2,6,3,6,10,9,4,1,4,11,11,11,11,11,11,8,1,7,11,4,11,11,2,1,2,11,11,8,5,5,2,1,2,3,1,1,6,1,7,1,7,7,8,5,6,3,11,10,8,2,11,9,7,10,9,8,9,8,6,10,10,7,5,8,5,11,7,7,4,3,2,2,1,2,1,1,21,2,3,4,46917,138,187,324,178,148,81,399,49,13,1529,NA,TRUE,FALSE,10,10,1,0,"0,46"
"275",1260,NA,NA,"base","interview",2,3,2,4,4,3,2,1,1,5,4,5,5,2,6,1,3,6,1,6,2,2,6,4,6,2,11,11,11,8,11,11,11,5,2,7,6,11,11,11,11,11,6,1,1,11,4,11,8,4,4,11,11,NA,8,6,6,6,6,4,6,4,1,11,3,4,11,11,11,8,11,11,11,11,11,11,9,11,11,11,11,11,11,11,11,11,11,9,11,11,11,11,11,11,11,11,11,11,11,2,11,NA,11,23,1,6,7,32,72,116,215,136,72,25,113,34,13,828,NA,TRUE,FALSE,10,10,2,2,"0,9"
"276",1261,NA,NA,"base","interview",3,5,4,3,3,2,5,2,2,6,3,5,4,3,5,2,2,4,3,6,3,5,6,6,4,8,3,11,1,11,9,10,9,11,6,4,2,1,8,7,9,7,1,1,7,4,8,4,3,7,10,10,4,1,11,6,6,4,5,6,6,5,3,10,2,7,1,10,10,10,8,9,10,4,4,3,1,5,9,4,1,2,4,1,8,1,6,5,2,3,1,5,11,10,8,10,1,10,6,1,11,5,10,20,2,8,4,9,41,50,78,70,30,24,86,30,3,421,NA,TRUE,FALSE,10,10,1,0,"1,74"
"277",1262,NA,NA,"base","interview",1,2,1,2,2,1,1,1,3,3,2,3,2,2,1,1,2,3,1,3,1,2,1,3,1,1,9,2,8,1,9,7,9,1,2,10,4,11,8,7,11,11,10,2,2,11,6,8,11,3,2,2,11,8,5,4,4,1,1,2,2,2,2,6,1,3,1,5,2,6,3,6,5,10,6,11,11,11,7,6,10,11,6,7,5,8,10,11,5,6,8,6,10,5,5,NA,4,1,2,2,6,NA,2,24,2,3,4,9,55,111,4840,90,47,46,193,48,11,777,NA,TRUE,FALSE,10,10,2,2,"0,89"
"278",1263,NA,NA,"base","interview",1,4,1,4,3,3,4,1,1,2,1,2,1,2,2,1,3,3,3,5,5,2,2,4,4,1,4,6,5,9,7,10,11,1,1,1,2,8,11,8,11,10,7,3,1,11,9,9,9,9,6,9,11,6,9,4,4,2,2,2,3,2,2,11,6,11,1,11,11,11,11,11,11,11,10,11,8,11,11,11,11,10,11,1,8,4,11,9,8,9,11,10,11,11,11,11,6,10,9,2,11,3,11,23,2,5,7,88,112,90,152,69,34,18,89,41,5,622,NA,TRUE,FALSE,10,10,2,1,"1,2"
"279",1265,NA,NA,"base","interview",4,3,2,4,3,1,5,2,3,6,2,1,4,6,2,4,5,2,1,5,3,5,1,6,2,2,4,11,4,9,6,10,7,6,8,4,2,1,6,3,8,7,10,4,6,5,9,8,9,10,5,7,3,1,5,4,4,4,4,5,4,4,2,6,3,10,1,7,4,8,9,9,9,4,8,4,3,6,6,8,3,5,2,3,1,5,5,8,7,3,7,2,7,7,5,4,4,9,4,2,6,4,5,21,2,8,7,20,80,124,189,84,49,73,181,26,3,829,NA,TRUE,FALSE,10,10,1,0,"1,04"
"280",1267,NA,NA,"base","interview",2,4,2,4,1,1,3,1,1,3,1,1,1,2,1,1,4,3,1,3,2,2,1,1,1,1,1,11,9,8,8,10,11,3,11,3,1,6,11,6,11,8,6,3,1,10,8,6,7,11,6,11,6,NA,6,4,4,3,3,4,5,2,2,8,5,9,1,8,10,10,10,6,7,8,8,6,5,10,6,8,6,11,7,1,5,5,6,7,4,7,6,5,10,8,8,6,4,8,6,4,5,6,6,20,1,6,4,10,99,135,220,122,71,40,283,47,11,1038,NA,TRUE,FALSE,10,10,2,1,"0,79"
"281",1268,NA,NA,"base","interview",3,4,2,3,2,3,4,1,2,6,1,5,1,3,3,3,4,6,2,6,3,4,6,5,5,11,8,1,6,7,7,9,11,8,5,6,1,9,11,7,9,6,6,1,1,5,4,6,7,6,8,7,7,6,3,3,1,1,3,5,5,5,1,6,1,3,2,6,6,6,6,6,6,6,5,3,5,7,4,3,6,5,6,2,4,4,8,6,4,3,4,4,6,9,6,6,6,6,6,5,6,1,4,33,2,7,7,20,102,150,154,116,98,29,179,48,4,900,NA,TRUE,FALSE,10,10,1,0,"0,89"
"282",1270,NA,NA,"base","interview",4,4,3,4,4,2,2,1,1,3,2,3,2,5,3,1,5,1,2,2,3,3,3,4,2,1,11,3,2,5,2,10,9,3,1,7,8,11,9,8,9,7,6,2,1,11,6,3,7,2,4,10,9,11,9,5,5,4,3,4,5,5,5,8,3,2,1,7,10,5,9,5,5,9,5,10,4,8,9,7,6,2,2,3,3,5,9,7,1,2,6,3,10,7,9,8,4,7,5,3,7,6,4,19,2,6,4,29,81,99,255,109,55,44,249,49,13,983,NA,TRUE,FALSE,10,10,1,0,"0,77"
"283",1278,NA,NA,"base","interview",3,5,4,4,1,2,5,2,3,5,2,5,3,6,4,4,2,4,3,3,3,5,6,6,3,1,6,1,6,11,3,8,8,6,9,2,1,7,10,9,9,2,5,3,6,7,7,11,2,9,6,10,4,2,11,4,5,6,6,6,6,5,2,6,7,11,1,4,8,8,10,7,4,3,3,3,1,4,4,3,6,3,4,1,7,1,2,6,2,4,2,4,9,6,1,3,1,1,4,1,4,4,2,20,2,8,4,5,51,68,101,62,30,14,111,25,2,469,NA,TRUE,FALSE,10,10,1,0,"1,89"
"284",1279,NA,NA,"base","interview",3,3,4,4,2,2,4,2,2,4,2,2,4,2,6,2,2,2,1,2,2,2,2,5,2,9,10,9,6,8,4,11,11,5,1,4,2,5,6,9,10,7,2,2,3,7,7,9,5,8,6,8,11,8,10,6,6,5,5,6,6,5,5,9,9,9,2,9,10,11,11,6,5,11,4,9,10,8,9,7,10,9,6,1,9,2,10,9,4,3,9,2,11,10,7,9,9,8,7,2,4,7,4,23,2,7,4,10,758,352,309,138,53,49,270,52,13,1323,NA,TRUE,FALSE,10,10,1,0,"0,63"
"285",1280,NA,NA,"base","interview",3,3,3,2,1,1,3,1,1,2,4,1,4,1,6,1,3,2,2,2,2,1,3,1,2,1,9,4,4,3,1,10,11,2,1,5,11,6,10,10,11,10,9,2,6,11,6,11,10,3,2,9,10,2,8,4,4,1,1,1,1,1,1,5,1,4,1,6,6,6,9,4,6,6,6,6,1,7,6,6,6,6,6,4,6,4,8,7,3,5,6,3,7,6,6,6,5,6,6,3,5,6,6,22,2,4,7,6,88,177,237,124,49,23,189,46,10,949,NA,TRUE,FALSE,10,10,1,0,"0,98"
"286",1281,NA,NA,"base","interview",1,4,2,2,2,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,6,2,10,5,11,11,8,3,5,1,11,11,11,9,11,7,4,4,11,8,6,11,2,4,9,11,6,11,6,6,5,5,1,5,4,4,6,2,6,1,6,10,9,6,8,6,6,6,5,4,6,6,6,6,6,6,3,6,3,6,5,6,6,6,5,6,8,6,6,3,5,6,4,6,3,6,25,2,5,7,6,83,165,115,81,50,36,118,37,16,707,NA,TRUE,FALSE,10,10,1,0,"1,11"
"287",1282,NA,NA,"base","interview",1,3,1,1,2,1,1,1,1,6,1,4,3,2,1,1,4,2,1,3,1,1,1,5,2,1,11,2,7,2,8,10,11,1,1,4,11,11,11,11,11,9,8,3,1,11,6,9,10,2,5,7,11,9,11,5,5,3,3,3,4,2,2,8,2,5,1,7,4,6,5,NA,NA,8,9,9,10,9,8,5,6,11,9,4,4,3,8,9,3,7,7,6,9,9,NA,3,5,6,4,3,8,6,7,22,2,3,7,20,86,168,132,128,53,28,168,31,990,820,NA,TRUE,FALSE,10,10,3,2,"0,86"
"288",1284,NA,NA,"base","interview",2,3,2,2,1,1,4,1,1,5,2,2,1,1,1,1,1,3,1,5,1,1,3,2,3,2,11,3,11,3,3,8,11,2,1,8,6,10,11,10,11,11,10,1,1,11,4,9,9,1,1,9,11,9,11,5,4,3,3,5,5,2,2,5,1,1,1,5,7,9,9,6,6,11,6,9,9,8,6,6,6,9,6,7,3,9,7,7,1,6,8,2,11,11,6,10,3,4,3,1,3,2,6,25,1,4,7,3,54,95,166,88,45,20,174,40,4,689,NA,TRUE,FALSE,10,10,1,0,"1,39"
"289",1285,NA,NA,"base","interview",2,2,2,3,2,1,4,1,2,1,4,2,1,1,1,1,1,3,1,4,2,2,2,2,1,1,4,3,7,NA,6,2,8,3,6,9,4,1,6,10,10,10,9,2,1,10,2,7,10,6,2,1,9,2,6,5,2,5,4,3,4,4,3,6,6,6,6,6,6,6,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,23,1,1,7,6,61,64,93,68,28,17,64,21,4,426,NA,TRUE,FALSE,10,10,1,0,"1,8"
"290",1286,NA,NA,"base","interview",3,3,3,5,1,1,4,2,2,1,1,2,1,1,1,1,4,1,1,1,1,1,1,3,1,NA,11,NA,11,NA,11,11,11,NA,NA,6,NA,5,6,11,11,6,11,NA,NA,11,6,11,6,NA,4,9,11,NA,3,1,1,1,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,7,12,111,168,139,88,61,32,83,29,7,730,NA,TRUE,FALSE,10,10,42,41,"1,08"
"291",1287,NA,NA,"base","interview",3,4,4,4,2,1,3,2,1,4,2,2,3,4,3,2,5,2,2,3,3,2,2,5,2,5,4,4,7,6,2,10,7,2,2,8,2,5,9,8,8,9,5,1,4,10,8,8,6,2,1,3,9,8,10,5,4,3,3,5,5,5,3,7,3,6,3,5,7,7,9,6,6,6,6,7,6,4,6,6,5,4,6,3,6,5,5,4,3,5,6,6,7,6,6,6,5,7,5,4,5,5,5,28,2,7,7,16,79,78,142,92,42,28,119,32,4,632,NA,TRUE,FALSE,10,10,1,0,"1,2"
"292",1289,NA,NA,"base","interview",4,2,3,3,2,4,3,1,2,5,1,2,1,1,1,1,5,2,1,5,1,3,2,3,1,1,3,4,6,6,3,8,11,1,1,6,5,9,11,6,11,11,11,2,1,11,7,7,9,2,7,11,11,9,2,4,3,5,2,4,4,3,5,8,2,4,1,9,3,11,9,7,6,7,7,11,7,9,9,5,7,6,8,1,7,5,7,6,6,3,11,6,11,8,8,3,2,9,3,1,6,1,3,19,1,4,4,8,93,130,198,120,78,31,219,45,5,927,NA,TRUE,FALSE,10,10,1,0,"0,94"
"293",1292,NA,NA,"base","interview",1,3,2,1,1,1,2,1,1,5,5,2,2,2,2,1,3,2,1,1,1,1,1,1,1,1,11,8,8,1,9,9,11,8,1,8,6,11,11,11,11,11,11,1,1,11,6,11,11,11,3,1,11,11,7,2,3,2,2,1,2,2,2,11,3,11,1,6,11,11,11,6,11,11,11,8,11,11,11,11,11,11,11,11,11,5,11,11,11,11,11,11,11,11,11,6,6,6,6,4,11,5,5,27,2,3,4,290,38,80,144,74,38,23,118,47,6,580,NA,TRUE,FALSE,10,10,1,0,"1,2"
"294",1294,NA,NA,"base","interview",3,4,4,4,3,2,2,1,2,4,2,5,3,1,3,3,3,2,2,2,3,2,1,5,4,1,6,4,3,1,2,9,9,4,1,6,4,11,11,8,9,9,4,2,1,10,8,3,9,1,2,10,10,7,11,6,4,4,2,6,4,5,4,10,2,6,1,10,8,10,6,6,11,10,9,3,2,6,6,10,8,3,6,2,6,1,6,3,1,6,4,4,9,11,10,10,10,11,10,6,11,2,10,22,2,6,4,3,53,81,105,72,47,20,108,43,5,537,NA,TRUE,FALSE,10,10,1,0,"1,52"
"295",1295,NA,NA,"base","interview",1,2,2,2,1,1,1,1,1,2,1,1,1,4,3,2,5,1,1,NA,1,1,1,3,1,1,6,1,6,3,6,3,9,4,1,10,10,10,11,11,10,10,11,1,4,11,4,9,11,1,3,5,10,6,4,4,4,5,5,3,6,6,4,5,1,2,3,5,8,9,10,1,3,11,11,8,3,11,8,6,6,NA,10,4,5,1,9,9,4,2,9,4,11,6,5,3,6,6,3,1,3,3,2,27,1,3,7,2,52,76,115,79,44,21,142,39,3,573,NA,TRUE,FALSE,10,10,2,2,"1,56"
"296",1296,NA,NA,"base","interview",3,3,3,3,3,1,3,1,1,4,2,2,1,4,2,2,5,5,1,6,2,3,1,3,5,1,11,9,6,6,11,11,11,7,1,2,8,11,11,9,11,11,7,3,11,11,7,6,8,4,1,10,11,11,5,5,5,5,2,5,5,2,3,8,2,9,2,6,10,11,8,4,11,11,9,4,7,8,10,9,11,9,6,3,6,2,10,7,5,1,6,5,10,9,5,7,5,8,6,2,7,4,3,22,2,6,7,413,721,5882,565,274,87,111,612,67,5,1928,NA,TRUE,FALSE,10,10,1,0,"0,37"
"297",1298,NA,NA,"base","interview",3,3,2,3,2,2,3,3,3,1,1,2,1,2,2,1,4,2,2,2,2,1,1,3,2,1,8,3,8,4,9,10,11,3,1,6,2,3,10,10,9,10,10,2,1,11,9,8,10,1,1,11,11,9,10,5,4,5,3,3,5,4,2,8,4,5,2,8,4,8,10,7,5,11,9,10,7,7,7,9,10,8,6,6,7,4,10,9,7,4,8,4,6,8,4,8,2,7,4,4,4,4,4,24,1,3,4,4,91,199,424,151,94,34,504,60,6,1567,NA,TRUE,FALSE,10,10,1,0,"0,89"
"298",1301,NA,NA,"base","interview",2,4,3,3,3,3,4,2,1,1,1,1,2,2,1,1,3,3,2,4,3,3,3,5,1,1,6,4,6,3,8,9,9,4,4,7,8,9,9,10,10,9,9,3,3,9,7,9,8,6,5,7,9,6,6,4,5,5,3,5,5,4,4,7,3,7,2,8,6,6,9,6,7,9,7,9,4,9,7,7,7,6,5,2,6,4,7,7,3,2,5,3,7,8,6,5,6,7,7,3,6,6,3,23,2,6,6,5,98,720,137,109,231,27,132,33,5,895,NA,TRUE,FALSE,10,10,1,0,"1,05"
"299",1303,NA,NA,"base","interview",4,4,3,4,2,2,5,3,2,5,2,1,1,5,1,1,5,3,2,6,4,6,3,6,5,3,6,10,5,9,3,11,9,4,1,4,1,8,11,2,11,6,6,1,6,9,10,3,5,6,7,11,7,NA,11,2,5,3,5,5,5,5,4,6,2,8,2,8,9,9,9,2,2,8,5,6,2,NA,9,6,5,8,4,1,6,NA,9,NA,2,9,9,4,8,8,7,9,2,2,2,8,7,NA,1,22,2,8,4,30,84,114,181,152,53,27,156,31,5,833,NA,TRUE,FALSE,10,10,5,4,"0,96"
"300",1304,NA,NA,"base","interview",1,2,1,2,2,1,2,2,1,5,5,5,1,4,1,1,5,2,1,6,4,3,2,5,3,1,11,2,4,2,4,11,11,2,2,7,1,11,11,9,11,11,7,1,1,11,2,11,11,2,1,4,11,1,1,4,4,4,1,1,3,2,2,6,6,6,3,7,6,6,6,6,6,6,6,7,6,9,6,6,6,6,6,4,6,6,7,7,4,6,6,6,9,6,6,6,6,6,6,2,6,6,6,26,2,5,4,3,51,88,112,133,64,30,116,66,27,690,NA,TRUE,FALSE,10,10,1,0,"1,22"
"301",1305,NA,NA,"base","interview",3,5,4,5,2,3,5,5,5,4,4,5,2,6,5,2,6,3,3,4,3,2,2,2,4,8,8,11,4,11,9,11,11,10,8,9,11,11,11,10,9,5,7,7,1,9,9,7,5,7,4,11,6,1,11,4,6,3,3,6,5,5,6,11,3,10,4,11,11,10,11,9,5,6,9,4,4,11,10,5,3,4,2,7,5,5,2,2,2,4,3,4,11,11,11,10,7,8,8,6,11,4,11,22,2,5,4,1,81,87,102,77,36,16,80,29,5,514,NA,TRUE,FALSE,10,10,1,0,"1,63"
"302",1306,NA,NA,"base","interview",3,4,2,4,2,2,3,2,2,2,2,1,1,2,3,2,5,5,2,4,3,3,3,5,3,NA,5,5,2,2,9,10,8,2,1,3,3,7,11,9,8,5,3,1,1,9,6,6,8,3,2,10,10,6,5,4,3,3,3,5,4,5,4,9,1,4,1,8,7,10,5,6,2,10,8,3,2,9,6,8,3,6,3,1,2,1,3,5,2,3,7,3,9,10,8,8,4,8,8,1,9,3,7,27,2,5,7,11,102,162,528,283,64,33,172,43,8,1406,NA,TRUE,FALSE,10,10,2,1,"0,76"
"303",1307,NA,NA,"base","interview",1,2,2,3,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,6,NA,6,NA,NA,NA,11,NA,NA,8,4,4,11,11,11,11,11,NA,NA,NA,NA,11,11,6,NA,NA,11,NA,9,3,2,2,1,2,2,2,2,NA,NA,4,NA,8,NA,7,9,7,NA,11,10,11,2,11,10,9,8,4,8,NA,10,8,3,11,6,10,9,10,11,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,23,2,2,7,4,63,100,121,62,55,26,135,41,3,610,NA,TRUE,FALSE,10,10,24,23,"1,47"
"304",1311,NA,NA,"base","interview",4,5,4,3,1,1,1,2,2,5,5,6,5,5,5,5,5,3,3,3,4,5,4,6,5,1,9,1,3,9,1,10,8,1,1,1,1,11,11,11,10,6,6,1,1,6,8,10,3,1,4,11,10,3,11,6,6,2,2,6,5,4,4,10,1,1,1,8,8,8,7,9,7,9,3,2,1,6,4,4,5,1,2,1,3,1,9,3,1,4,5,3,11,9,5,9,3,7,7,2,10,10,6,19,2,8,4,9,77,99,116,84,70,31,116,47,4,653,NA,TRUE,FALSE,10,10,1,0,"1,17"
"305",1313,NA,NA,"base","interview",2,3,2,2,2,2,3,2,2,2,3,2,2,3,2,2,3,2,2,2,2,1,2,6,3,NA,6,6,5,7,3,7,11,4,2,10,7,11,11,11,11,11,10,1,1,10,8,10,8,2,3,9,11,8,11,4,5,3,3,3,5,4,4,7,1,9,1,6,9,11,11,6,6,9,8,9,3,8,4,8,5,2,6,2,4,5,8,9,3,4,10,5,11,8,4,4,1,5,4,2,1,8,1,26,2,3,6,9,72,126,108,204,79,20,102,41,3,764,NA,TRUE,FALSE,10,10,2,1,"1,22"
"306",1318,NA,NA,"base","interview",3,5,3,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,11,11,6,6,11,11,1,8,6,11,6,11,11,11,9,1,6,11,11,11,11,1,11,11,11,11,1,6,6,1,1,6,6,1,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,35,2,1,4,7,73,99,115,109,46,35,114,51,8,657,NA,TRUE,FALSE,10,10,1,0,"1,13"
"307",1319,NA,NA,"base","interview",2,3,3,4,4,3,3,2,1,4,1,1,1,1,3,1,4,2,1,2,3,1,2,2,2,6,3,9,7,4,6,10,10,3,6,6,4,1,6,3,9,8,9,1,1,6,7,9,9,11,7,4,4,NA,11,5,4,3,3,3,4,2,2,6,4,6,1,6,8,10,8,5,3,4,9,2,2,3,1,3,3,5,3,1,6,7,8,4,1,1,5,6,7,8,6,6,2,3,4,7,5,3,2,23,1,4,4,20,76,100,178,89,46,21,168,67,9,774,NA,TRUE,FALSE,10,10,2,1,"0,97"
"308",1320,NA,NA,"base","interview",3,2,2,3,2,2,4,2,1,5,3,5,2,5,3,3,4,2,2,2,5,2,3,5,5,2,10,8,1,8,7,6,9,7,3,8,4,9,11,9,7,11,4,1,2,6,6,9,3,5,2,6,8,3,5,5,4,1,1,3,4,2,2,6,1,6,4,9,8,10,9,6,6,7,4,8,2,6,7,3,4,6,3,1,6,4,9,7,6,6,6,5,11,6,8,6,3,6,2,2,4,1,2,26,2,9,7,10,49,68,150,66,38,27,126,24,2,560,NA,TRUE,FALSE,10,10,1,0,"1,56"
"309",1325,NA,NA,"base","interview",2,2,3,3,2,1,1,1,1,5,1,4,2,5,3,1,4,2,2,4,3,3,1,2,1,1,11,4,6,6,1,6,11,6,1,6,1,11,5,11,11,11,8,1,11,11,6,6,11,2,5,6,11,11,10,6,6,5,1,5,5,5,2,6,2,6,1,4,10,6,8,6,3,7,6,6,1,6,6,6,9,6,6,6,4,6,6,6,6,4,6,7,6,6,5,5,3,5,3,6,6,1,3,21,2,6,4,5,41,84,82,68,33,22,118,21,6,480,NA,TRUE,FALSE,10,10,1,0,"1,64"
"310",1327,NA,NA,"base","interview",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,11,1,11,2,8,4,9,1,1,8,11,11,11,11,11,11,11,1,3,11,1,6,11,1,1,11,11,11,1,5,5,5,5,3,4,3,2,11,1,1,1,11,11,11,11,11,11,11,11,11,6,11,11,11,11,11,1,11,11,11,11,11,6,11,11,11,11,11,11,11,1,11,11,1,11,11,11,29,2,6,4,2,65,77,155,72,82,37,183,53,6,732,NA,TRUE,FALSE,10,10,1,0,"1,23"
"311",1328,NA,NA,"base","interview",5,5,2,4,1,1,4,1,1,5,1,1,1,1,1,1,1,1,1,1,4,3,1,6,1,11,8,1,6,7,6,7,6,1,1,3,11,11,6,11,6,4,11,1,1,6,4,10,2,1,1,10,6,6,1,4,2,2,2,6,5,5,1,6,1,6,2,6,5,6,6,6,6,6,3,6,4,7,6,6,6,6,6,5,2,6,8,7,4,1,6,1,6,6,6,5,2,6,6,1,6,NA,5,26,2,8,7,7,71,114,133,97,52,25,131,36,7,673,NA,TRUE,FALSE,10,10,2,1,"1,16"
"312",1331,NA,NA,"base","interview",1,3,1,3,3,1,2,1,1,4,1,1,1,1,1,1,1,5,1,2,2,1,1,2,1,1,6,2,9,1,2,9,9,1,1,8,8,9,11,9,10,9,10,1,1,11,5,8,10,2,1,5,11,8,2,3,4,2,2,4,2,1,2,8,2,9,1,6,6,7,10,4,6,9,9,9,4,9,9,9,9,11,6,8,8,8,7,8,6,9,6,6,8,9,4,3,2,2,4,2,8,4,2,24,2,3,7,18,95,158,259,109,85,29,203,43,3,1002,NA,TRUE,FALSE,10,10,1,0,"0,92"
"313",1332,NA,NA,"base","interview",1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,10,1,11,6,11,1,1,11,6,11,6,10,11,11,11,1,1,11,6,11,11,2,1,2,11,11,6,2,2,1,1,1,1,1,1,3,1,6,1,6,1,10,6,6,6,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,10,11,11,11,11,6,3,2,6,2,2,1,2,2,2,24,4,1,7,365,63,163,183,76,51,25,169,29,10,781,NA,TRUE,FALSE,10,10,1,0,"0,94"
"314",1333,NA,NA,"base","interview",3,4,2,4,2,3,3,2,1,4,1,1,1,2,2,1,2,2,1,1,1,1,2,2,3,1,11,NA,9,9,9,11,9,9,2,7,6,6,11,9,11,9,5,3,4,11,9,6,6,5,3,9,10,11,5,5,5,4,3,4,4,3,3,11,2,11,6,9,11,11,11,9,11,9,6,11,9,11,9,9,9,11,3,7,3,11,11,11,3,7,11,6,11,11,11,11,11,11,11,6,11,9,11,25,2,6,7,15,273,177,228,161,118,79,311,72,10,1444,NA,TRUE,FALSE,10,10,2,1,"0,56"
"315",1335,NA,NA,"base","interview",3,4,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,11,NA,6,NA,8,11,11,NA,NA,NA,NA,11,11,11,11,11,11,NA,NA,11,7,11,11,NA,NA,NA,11,11,11,3,3,1,1,4,3,4,2,NA,NA,NA,NA,6,NA,NA,NA,6,NA,6,NA,11,5,6,6,NA,NA,6,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,21,2,4,4,105,86,52,97,45,36,26,66,27,6,453,NA,TRUE,FALSE,10,10,34,33,"1,48"
"316",1336,NA,NA,"base","interview",2,3,3,4,2,3,3,3,3,5,2,2,1,2,4,1,3,5,2,3,3,2,2,4,4,2,8,3,5,4,10,10,11,6,1,4,9,11,10,9,11,8,3,2,1,8,6,11,10,3,NA,8,11,NA,3,2,3,2,1,2,4,3,2,2,3,2,1,8,6,11,6,5,2,8,5,6,3,7,3,6,NA,6,NA,NA,3,4,10,5,1,2,4,3,9,NA,4,6,2,NA,4,1,3,NA,2,22,1,3,4,11,61,188,130,222,140,244,149,18,3,953,NA,TRUE,FALSE,10,10,7,6,"1,04"
